Id,MS Zoning,Street,Land Contour,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Bsmt Qual,Total Bsmt SF,Heating,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,SalePrice,Garage Total Value,Overall Total Value,Exter Total Value,Total Flr SF,Fireplace Total Value,Total Bath,Kitchen Total Value
109,RL,Pave,Lvl,Sawyer,RRAe,Norm,1Fam,2Story,6,1976,2005,Gable,HdBoard,Plywood,BrkFace,289.0,4,3,725.0,GasA,725,1479,2,4,6,0,Attchd,2,2.0,475.0,130500,10.0,14,7,1450,0,3.0,5
544,RL,Pave,Lvl,SawyerW,Norm,Norm,1Fam,2Story,7,1996,1997,Gable,VinylSd,VinylSd,BrkFace,132.0,4,4,913.0,GasA,913,2122,2,4,8,3,Attchd,2,2.0,559.0,220000,10.0,12,7,1826,4,4.0,5
153,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,1953,2007,Gable,VinylSd,VinylSd,None,0.0,3,3,1057.0,GasA,1057,1057,1,4,5,0,Detchd,1,1.0,246.0,109000,8.0,12,7,2114,0,2.0,5
318,RL,Pave,Lvl,Timber,Norm,Norm,1Fam,2Story,5,2006,2007,Gable,VinylSd,VinylSd,None,0.0,3,4,384.0,GasA,744,1444,2,3,7,0,BuiltIn,3,2.0,400.0,174000,11.0,10,6,1488,0,3.0,4
255,RL,Pave,Lvl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,1900,1993,Gable,Wd Sdng,Plywood,None,0.0,3,2,676.0,GasA,831,1445,2,3,6,0,Detchd,1,2.0,484.0,138500,9.0,14,6,1662,0,2.0,4
138,RL,Pave,Lvl,NAmes,PosA,Norm,1Fam,1Story,6,1966,2002,Gable,BrkFace,Plywood,None,0.0,4,3,1517.0,GasA,1888,1888,2,4,6,4,Attchd,3,2.0,578.0,190000,11.0,12,7,3776,5,3.0,5
2827,RM,Pave,Lvl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,2005,2006,Gable,VinylSd,VinylSd,BrkFace,82.0,3,4,547.0,GasA,1072,1072,2,3,5,0,Basment,3,2.0,525.0,140000,11.0,11,6,2144,0,3.0,4
145,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Hip,Plywood,Plywood,BrkFace,180.0,3,3,1188.0,GasA,1188,1188,1,3,6,0,Attchd,2,2.0,531.0,142000,10.0,10,6,2376,0,2.0,4
1942,RL,Pave,Lvl,OldTown,Artery,Norm,1Fam,1Story,5,1952,1952,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,924.0,GasA,924,924,1,3,6,0,Detchd,1,1.0,420.0,112500,8.0,10,6,1848,0,1.0,4
1956,RL,Pave,HLS,NAmes,Norm,Norm,1Fam,2Story,5,1969,1969,Gable,Plywood,Plywood,BrkFace,192.0,3,4,1040.0,GasA,1040,2080,1,2,9,3,Attchd,1,2.0,504.0,135000,9.0,10,6,2080,5,4.0,3
